tweet_id,sentiment,author,content
1956967666,sadness,wannamama,Layin n bed with a headache  ughhhh...waitin on your call...
1956967696,sadness,coolfunky,Funeral ceremony...gloomy friday...
1956968487,sadness,ShansBee,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
1956969035,sadness,nic0lepaula,@charviray Charlene my love. I miss you
1956969172,sadness,Ingenue_Em,@kelcouch I'm sorry  at least it's Friday?
1956970047,sadness,Danied32,Ugh! I have to beat this stupid song to get to the next  rude!
1956970424,sadness,Samm_xo,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
1956970860,surprise,okiepeanut93,Got the news
1956971077,sadness,Sim_34,The storm is here and the electricity is gone
1956971170,love,poppygallico,@annarosekerr agreed
1956971206,sadness,brokenangel1982,So sleepy again and it's not even that late. I fail once again.
1956971586,sadness,cleepow,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
1956972097,fun,schiz0phren1c,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
1956972359,sadness,xamountoftruth,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
1956972557,sadness,LilithGaea,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
1956973598,sadness,username_origin,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
1956974706,hate,MavrickAces,It is so annoying when she starts typing on her computer in the middle of the night!
1956976312,sadness,amy__xx,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
1956977084,happiness,ktierson,mmm much better day... so far! it's still quite early. last day of #uds
1956977187,fun,diNGUYEN31,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
1956979150,sadness,rionne,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
1956982383,sadness,Ameeee,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
1956982576,sadness,kShadhavar,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
1956982605,sadness,Diyeni,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
1956983160,sadness,crittyjoy,@Pokinatcha  in all honesty...pain   blech.
1956983171,sadness,paulyum,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
1956983690,sadness,Trishalove,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
1956983874,happiness,joia,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
1956985535,happiness,quarrygirl,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
1956985764,sadness,Samm_xo,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
1956986211,sadness,metaphysical1,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
1956986767,sadness,AshLaws,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
1956987600,hate,naterkane,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
1956989093,love,Angela_Grace,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
1956989514,sadness,yellowduckx,@sweeetnspicy hiii im on my ipod...i cant fall asleep
1956989526,sadness,KaKuBby,dont wanna work 11-830 tomorrow  but i get paid
1956989560,sadness,benchidol,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
1956989601,hate,M0anique,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1956990288,hate,MissPassion,@mrgenius23 You win ... SIGH Rakeem
1956990568,sadness,sarah_walter,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
1956991009,hate,rdyfrde,"@soviet_star Damn, that sucks"
1956991673,sadness,M0anique,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1956991704,hate,Tweetyangie,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
1956992030,sadness,mafiaman8108,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
1956995196,sadness,jnvelasquez912,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
1956995762,sadness,foxtail84,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
1956996081,hate,snursalim,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
1956996385,love,votech,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
1956996673,hate,Merekdavis,@britblackbird  youstinkatrespondingtotexts!
1956996730,sadness,Rowch,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
1956996765,happiness,rarmendariz,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
1956996776,sadness,KitaCupcake,Is miserable  i feel like im gona cry  sux!
1956998370,love,rockinchick11,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
1956998532,sadness,katienaas,*sigh* I'm going to bed... I just don't feel right anymore...
1956998704,sadness,sillynic,Now I am depressed after watching so you think you can dance
1957000040,sadness,minauderie,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
1957001854,fun,Samiijoo,RIP leonardo. You were a great mini fiddler crab
1957002082,sadness,V0NST3V3,"Last day working for the Uni today, sad times"
1957002773,love,UncoolRockstar,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
1957004749,hate,golden_one,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
1957005226,sadness,GiselleLee,is still missing her husband.    I really want him home.
1957005279,sadness,PYTDavis,I miss my puppy
1957005410,surprise,HIM357,"2 days of this month left, and I only have 400MB left on my onpeak downloads."
1957005696,fun,nickhalme,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.
1957005713,sadness,smilyross,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
1957006033,sadness,klybob,@BarbSchaefer yearling in pet home died... very sad for their whole family
