tweet_id,sentiment,author,content
1956972097,fun,schiz0phren1c,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
1956974706,hate,MavrickAces,It is so annoying when she starts typing on her computer in the middle of the night!
1956977187,fun,diNGUYEN31,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
1956987600,hate,naterkane,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
1956989601,hate,M0anique,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1956990288,hate,MissPassion,@mrgenius23 You win ... SIGH Rakeem
1956991009,hate,rdyfrde,"@soviet_star Damn, that sucks"
1956991704,hate,Tweetyangie,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
1956996081,hate,snursalim,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
1956996673,hate,Merekdavis,@britblackbird  youstinkatrespondingtotexts!
1957001854,fun,Samiijoo,RIP leonardo. You were a great mini fiddler crab
1957004749,hate,golden_one,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
1957005696,fun,nickhalme,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.
1957007268,fun,EmaMolly,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?
1957007437,fun,grrimadinox,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay"
1957009666,hate,wendyisastar,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
1957010329,fun,NoteRobot,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
1957013166,hate,jupzchris,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin
1957013723,hate,babygurl0791,would wish the severe migrains would stop!!! doc's prescriptions arent working
1957013895,hate,kkjordan,@tiffalo cuz airlines are super lame.
1957014493,hate,Taynted_lyfe,I'm so very tired...and have insomnia.
1957014706,hate,butteredninja,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
1957021486,hate,karissaferg,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
1957023263,hate,youulovemee,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
1957023739,hate,Tin06,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
1957030622,hate,sharnanicole,@lanacaitlin  hahaha well its try its so ugly
1957031859,fun,KylieMalchus,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though
1957033874,hate,Lilixbabi3,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
1957034289,hate,kimba1bl,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
1957035950,hate,geezitslouize,my roommate @tess_tickle loves to ignore me
1957038470,hate,No1PanicFan,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
1957041812,hate,MissxMarisa,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"
1957044935,hate,helenmurdock,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
1957048703,hate,JBMareMareJB,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??
1957050633,hate,STAR13R,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
1957055530,hate,TK04,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!
1957061884,hate,caitimac,@all_is_one84 Those suck so bad.
1957063783,hate,Craz_Monkay21,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.
1957073753,hate,imayami,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs
1957076577,hate,benfulghum,on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;
1957079355,fun,drugunter,"i should be finished.... but i'm not.  color drawing, here i come."
1957082538,hate,sin__,@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw]
1957083641,anger,elDi_irk,fuckin'm transtelecom
1957085151,hate,josh_kim,@juliaiiivir Hey! That's my school! I hate that place.
1957089935,anger,umi78,Working   But it's Fridaaaayyyyy
1957094812,hate,vyvien,"plan may changes , nooooooo"
1957094989,hate,tonydeanxo,my sister is a douchebag
1957105472,hate,hiracdelest,time for tv in bed.Then spending all day catching up on studying  i hate online summer classes
1957106609,hate,Anne_A4L,Dang it! I REALLY look like crap!! Sigh only had 35mins to shower and 10mins to get ready
1957110088,anger,NayNay_Rt,Packing  I don't like it..
1957114604,hate,Fiibs,"back at Vienna (  ), sooo tired, luggage lost, Manchester 'd been great - very good outcome from Seminar at MBS &amp; great people around ..."
1957119110,fun,Jensiphone,@plantweb  Lettuce &amp; spinach does best in cool weather.. I live in florida..not much luck growing those..
1957124444,fun,fangirldak,@JetWolf I know I enjoy watching you two on twitter. About as entertaining as the comic.  That I miss
1957127251,hate,ver0nica,@guitar21g @jackie_hussein i have to wake up earlier than i thought.. my dad wants me to take him food at 9AM! no0o0o0o!
1957134278,fun,tractorqueen,My BFF rocking Hotel California now. No @NKOTB songs!  done stay the same. What's next? Hmmm.. Careless whisper!
1957142715,hate,whiterr_x,"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can't find any other shoes!"
1957145531,hate,holleeann91,night 5 not talking to my victor  i'm so bored at night now. grrrr i hate this shit
1957145817,hate,Jessicahhhh,"gonna get off to try and catch some Z's, no more high school after tomorrow! which really sucks  i wish i didn't have to grow up!"
1957147658,hate,MEG_B_johnson,Sooo.....I'm kinda o sick n tired of the bs that guys dish out  !!!!!!!!
1957150281,fun,joeboyfresh,@BriannaBanshee such a dissapointment  hhaha
1957151886,fun,xdetergentx,"creeped it up at the ice cream social! good times. lars and the real girl, such a sad movie"
1957154821,hate,marconipoveda,i just murdered two fucking mouses!!! now i cant sleep
1957156484,hate,dj_melza,"sososo bummed, like really bummed, i hate this rain, ruin my date..."
1957156949,hate,DasutinD,"Working late at night on a Dell notebook, Dell's quality has gone down hill, warrenty service sucks too, poor people  buy a Mac instead"
1957160843,hate,victoriaaa_,"@calvinharris make the most of pork products while you can, they've fucking stopped importing it here in dubai. bad times"
1957170232,hate,deenahdeedoodah,"WTF facebook just cleared out my whole survey and i was on the last q, this night gets better and better  what else is next?"
1957171745,fun,J_Cahn,was playing street fighter IV and Seth Raped me
1957172292,hate,sylverxrainbow,Its weird being at the guy's house without them here. I don't like it
1957177654,hate,ZenHarmony,"@mrskutcher  Where I live, all the small markets deliver their day-old bread to the food bank, but times are really tough, even for me"
1957188633,hate,karaready,Doing a mass cleanout of my room before rearranging it. Just sent mother out to buy me a bin and a bookshelf since mine sucks. Bad mood
1957188806,hate,maojoa,"feeling really sick  watching the fifth element, and about to smoke a cigg. ugh i hate colds!"
1957192594,fun,itsurgirld,must clear out my DVR... getting rid of it tomorrw.
1957192957,hate,LucHeidenreich,Bummed that F! F! F! broke up
1957198359,hate,Dutchrudder,"@StonedSteve yes it was good 2 see them laught at each other,,but that poor lad asking his mum &amp; dad 2 kill him"
1957202373,fun,Embabe09,@Jukie_08 hell yeah! i missed u last nite  lol do u like my opinion?
1957206401,hate,delboy1203,@GoblinZA Can't access your site!
1957211597,hate,TannuhFS,Its so Fucking hot! Damn no air conditioning.
1957212085,hate,godmagnus,@hillaryhatt I never liked that boy  Jerms!
1957216783,fun,xoxnicoco,i wish i was at @angelcore's burning trees and trying on dresses...
